,code_str,name_str,TH
0,tab_news,新闻,100
1,tab_video,视频,101
2,tab_me,我的,102
3,main_page,首页,103
4,loading,努力加载中,104
5,last_node,"上次已看到这里,点击刷新",105
6,follow,关注官方FB,106
7,settings,设置,107
8,version,版本信息,108
9,about,facebook联合登录,109
10,unlogin,未登录,110
11,settings_push_title,接受推送,111
12,settings_push_subtitle,打开可接受到新闻通知,112
13,settings_autostart_title,自动播放影音,113
14,settings_autostart_subtitle,3G/4G下自动播放影音,114
15,settings_lockscreen_title,打开锁屏新闻,115
16,settings_lockscreen_subtitle,第一时间获取第一手新闻,116
17,close_title,"我想关闭这条消息,原因是",117
18,close_reason1,不感兴趣,118
19,close_reason2,质量不高,119
20,close_reason3,重复出现,120
21,skip,跳过,121
22,next,下一步,122
23,choose,选择你感兴趣的栏目,123
24,net_error_title,网络异常,124
25,net_error_subtitle,"未连接到网络,请检查网络",125
26,retry,重试,126
27,replay,重播,127
28,share,分享,128
